arrivalAirport
{name:SMF}
{name:DEN}
{name:LGA}
{name:ORD}
{name:GRR}
{name:MSN}
{name:CMH}
{name:PIT}
{name:SGF}
{name:OMA}
{name:EWR}
{name:TPA}
{name:IAD}
{name:IAH}
{name:MSY}
{name:AUS}
{name:ROC}
{name:ORF}
{name:BOS}
{name:BWI}
{name:FAR}
{name:BDL}
{name:PHX}
{name:SFO}
{name:OKC}
{name:BZN}
{name:MEM}
{name:SJC}
{name:SEA}
{name:LAX}
{name:ABQ}
{name:FAT}
{name:LAS}
{name:TUS}
{name:PDX}
{name:PSP}
{name:RNO}
{name:MCO}
{name:CRP}
{name:TUL}
{name:DFW}
{name:MFE}
{name:MIA}
{name:PBI}
{name:RSW}
{name:FLL}
{name:SNA}
